ě pé 	il a pris
A la pâ mú' lyə́', ta' djâŋvʉ̌m ghɔ̂ gë bwë yaŋ vʉ̌m.  	Il était une fois, un chasseur se rendait dans un champ pour faire la chasse.
o kǎ hálá, djɔ́ mâ nɔ́k bė é tsʉ́mtsǝ́ nâ pû tsyǝ́.	Par ailleurs, il vit un serpent qui s'était enroulé sur une branche d'arbre.
khá á gɔ́ yɔ́ Fė á yɔ́gám paɛ́ kwa' mâfɔ̂kdzʉ̌ ɔ̀	Je devais rencontrer le roi bayangam très tôt en cette matinée ci.
Tâ, ǒ jyǝ́ gâ mnuǝ mǔ bá mnuǝ mǎ	Père, tu sais que tes affaires sont mes affaires.
Tânyǝ, o ká bó gɔ́ sɔk mkɛ́ŋ tá ghɔ	Tagne tu devrais laver les assiettes avant de t'en aller.
Tsô tsaə̂ bə́ Sômò, Kwa' wù, tsʉ tsô bə́ waə́ ?	Mon nom c'est Somo, Et toi quel est ton nom?
Wó, a lá pė só' djʉ̂ looo, â nuǝ Tânyǝ oo. në pâ gwák tá pe	Au secours, venez comprendre ooo, ce sont les problèmes de Tagne, du fait de mepriser son père.
gá gá fɔ̂kdzʉ̌ pėpɔ́ŋ bí pė lá,fɔ̂kdzʉ̌ pėpɔ́ŋ bí pė, pɔ á yɔ́gám.	Je vous souhaite une heureuse matinée, Heureuse matinée a vous, peuple de Yogam.
Tâ ká á khwɛ̂ŋ yǎ gá gá gɔ lî' fǝ́ tsa, bǒ yɛ̂ŋ sɔk.	Papa,je m'imaginais que en rentrant du palais royal tu aurais déjà lavé.
E lî' yû' kwyǝ̌kwyə̌ tó' në lǝ́mtsǝ é, khɔ́ ná é pâ tsyǝ́ áá..	Il s'en aperçevait qu'une sorte de fourmis noir le piquait et avait envahi son corps jusqu'à la tête.
wáp la wɔ́ŋ sɛŋ ná sǝ̂ é pë a mnaŋ myǝ́ gwɔ́ŋ thó' në tsyǝ́tsǝ é.	Ces fourmis se sont immédiatement rependues sur sa face et ses poils en commençant à le picquer.
E cwǝ́ sɔk këkɔ́, dá sɔktʉ́m pabɛ̂ŋ shwɔ́' kɔm kwyǝ́kwyǝ̌ vóp nâ sǝ́ nɔmthė bǎ.	Il essayait de supporter, mais en vain, et pris le courage d'hommes pour décrocher la fourmilière et la frapper sur la face de cette animal féroce.
E lê tsyǝ́ dé sí, në ghɔ mdzǝ la pá wǝ́, në piŋ m djʉm la pá wǝ́; bė nɔm bǎ ê dá' shwǝ́ to tsyǝ́.	Il Jeta un coup d'œil en haut et en bas; faire un pas en avant n'étais pas possible, encore moins faire un pas en arrière; car cet animal-là s'était déjà installé sous l'arbre.
bɛ̂ŋ bǎ yú' pâ' nɔmthë sí gɔ́m bî kwyǝ̌kwyǝ̌, gá wáp ták msɔŋ náŋ, pë a pú lá â mkhǒp dá dó' á, gwɔ́ŋ dá â msësá' gwʉ́ fí' tsyǝ́, dó khwǝ é bî cwǝ̀.	Cet homme-là entendit l'animal féroce dire aux fourmis noires, de laisser leurs dents et que ensemble ils utilisent les griffes pour le combattre, Il prit rapidement une vitesse pour descendre de l'arbre, demandant au temps d'accélérer son pas.
da kǒ wə́ djɔ́ pómsėkú, bė wáp jyə́ në və ta á tíŋnyə, biŋ jyə́ nə́ kê mnyə́ ŋwa' nyə kwa' pėpɔ́ŋ.	J'y entrais et voyait les élèves, qui savaient déjà bien écrire, et savaient également bien lire l'alphabet.
Mtâ pa , mʉə̂ pa, msô pa ! Sǐ kwí' ta' lyə́' dzʉ́ bí pa , mė zí dó'nyə́  və̂ tsyə́ tsë  nâ yaŋ shwop hɔm m shǎ' pʉə́, bwɔ́k në pí pá' myə áá.	Mes pères, mères, amis! Que Dieu nous augmente des jours et que chacun puisse s'inscrire en l'année deux mille huit, pour ne pas perdre comme moi.
N da və̌ tsë tsǎ cwəlɔ, gɔ́ ŋkó dyə̂ gwyə́ báŋ pyəshə́ pɔ, pyə a pú pə́mtsə djwɔ́p shyə lėpʉə gwɔŋ yɔ́kpa kwa' pėpɔ́ŋ nâ ghɔmálá’.	Je m'étais inscrit, et partit entrer dans la grande salle auprès des autres,  nous avions ensemble exécuté l'hymne de liberté de notre nation avec prestige en ghomlá'.
Pë la pǐŋ haptsə mėnaŋ, bė á pá pɔ lá ghɔ̂ nâ yap dyə́.	Par la suite on nous a dispersés, et chacun allait dans sa salle.
Pyə lə kwǐ' djwɔp shyə pó á Bînam, biŋ sɛ́ŋywə́ ta khə́m nâ ghǎm.	Nous avions aussi exécuté le chant du peuple Binam, puis avions compté jusqu'à dix.
n dâ bá m há? N dâ bá wə́ fá' ká ta shwə́ daŋ pó'ò ? Pë pîŋ dî' kě ywə́ lá bhanyə djʉm ná m.	Où étais-je? Que faisais-je jusqu'à traîner autant? En faisant la lecture, on est retourné jusqu'à moi.
Gwɔŋ tsə̂ pepûŋ thə́m  á thʉ́m cá':thó' nâ shyə, gɔ́ khəm nâ klasí yaŋ ye â bá tɔ́kcyə lyə́' ɔ áá	Toutes bonnes choses proviennent de la terre : commençant par l'eau, jusqu'au pétrole qui est un trésor de nos jours.
Me bá sháŋ ne kwîŋthɛ̌ŋ nâ shá mnwə, pé lî jyə́ á ě wə́ gɔ́m ta á táŋ é, o yɔ́ e lâ ca'á	L'homme cherchant à rendre témoignage pour une affaire, voulant prouver qu'il parle sérieusement, tu verras qu'il lèchera la terre.
Gǎ wɔ́ŋ Cɛ́ŋ.	J’en ai marre de la prison.
Thʉ́ msɛ́ŋ sí 	Nous déposions le couscous de maïs.
Pɔpɔ lâ bė wáp khʉ cɛ́ŋ,	Ceux-ci avaient fui la prison.
djɔ̂ bė tsʉ̌' pɛŋ gâ cɛ̀ɛ̀ŋ.	L’environnement était si rouge.
Wáp pyə̂' lá nwə́ cɛ̂ŋcɛ́ŋ	Ils retirent et en burent sans arrêt.
wáp kwâ dzʉ́ â cɛ̌ŋ;	Et ils se mirent à le manger sans sauce.
Pyə la lî' ŋwak lá' Cɛ̀ŋ,	En arrivant dans le village Dschang,
Bá sháŋ në kô mu' go á Cɛ̀ŋ;	Pour y doter une fille de Dschang.
Pyə la ghɔ̌ lá' Cɛ̀ŋ;	Nous étions allés dans la région de Dschang;
Pë lâ mlu' sô' bė á pɛŋ gâ cɛ̀ɛ̀ŋ;	Nous déposions un vin très rouge;
Pë dë më cwɛ́ŋcwɛ̂ŋ go bė ě pɛŋ gâ cɛ̀ɛ̀ŋ.	On parle d'une effilée et si brune.
Fə́ pô' ta m dyə̂cɛ̂ŋ gwyə́ lá' Cɛ̀ŋ.	La prison centrale de la ville de Dschang.
Khwá mdzə́ a pá mcɛ̂ŋmcɛ̌ŋ,	Et ils avaient porté des habits déchiquetés.
Mcɛ̂ŋ myə́ djáŋ bá â mcɛŋmcɛŋ,	ces déchirures étaient bizarre et si rouges.
Ké bíŋ khwi' khé. 	Lire et relire
A cë bá sɔmywə́ pá. Ca pė cɔ́m.	c'est insignifiant. Ne vous en souciez pas.
Mûgôp bwɔ́k ghə́m. Â bá gɛŋbo e.	Le poussin redoute l'épervier. C'est son ennemi.
Pë lə cwə̌ ntó' nwə lî' cɛ̀ŋnyə̀.	Nous avions commencé a faire des choses devant duré.
Pẽ cë dɔ wʉ́ cė a thə́m pá. Pė kâ kwi' dɔ́ɔ́.	On ne pleure le deuil avant le deuil. Ne pleurez plus.
Yáp sɔk báŋ mkɛ́ŋ. Gá gɔ sɔk pá cwəlɔ̌.	dépose le savon auprès des assiettes. Je laverai tout à l'heure.
Ê djú' nwə bí mâp e kwa' pėpɔ́ŋ. E cë djápnwə̀ pa.	Il obéit beaucoup à sa mère. Il ne fait pas de problèmes.
Ghɛŋnyə mė cë dzí pá. Ê khwó' tsyatsə gíŋtsə́ ghiŋtsə.	L'âme d'une personne ne dort pas. Il passe sa nuit à marcher.
O ka níŋ sɔ́k nə́ ná' yǎŋ . O jyə́ gá a ka tsyə́.	Tu n’as pas mis de piment dans cette sauce. Tu sais que c'est pas pimenté.
Mú wə́ dá' nyə́ gɔ́ m shyə . Djishyə gɔ jwə́ á. 	L'enfant dit au revoir pour aller puiser de l'eau. Je mourrai a cause de la soif.
E ka yó góp sim pá . Pá e la té do bǎ. 	il n'a pas acheté la pour au marché.  Il ne  pourra pas couper le lien avec cette malédiction.
Mė cë bá nwǝ shyə ghâk é khə́ pá. Ê nwə́ shyə̀ cė khwɔ̀ŋ. 	Quand on boit de l'eau, on ne risque pas avoir la gorge sèche. Il boit de l'eau malgré lui.
Nwə́ lá mnyə̂ máp cû' bɛ́ŋ gaə̂ cɛ̀ɛ̀ŋ;	Ils burent et leurs yeux se mirent à rougir tellement.
Wáp ŋwâk gɔ́m gâ mghɛŋcɛ́ŋ píŋ gaə̂ shɛ̌ŋ,	Ils arrivèrent et menacèrent les prisonniers.
Wʉ̌ tâ á Gìfė. 	La mort de mon père Gife.
Sɔm ywə́ cë wə́ djá bɔŋ é pá.	Rien ne lui plaît plus.
Ê djwɔ́k mɔ́kcʉ́ shwécwe. 	en journée, il ne fait que se plaindre
dǎ' mdzə̀; yə́ nwə̌ miŋ sîca' ɔ. 	Jusque par devant, S'en est fini de lui.
Pë dî' yɔ̌ wáp tó' në naŋ cɛ̌ŋcɛŋcɛ́ŋ;	Puis ils commençaient à danser comme des déséquilibrés.
A wɔ́ŋ gɔ cėcǎ pú thó' në kam shɛŋ,	Directement celà déclencha des problèmes au milieu d'eux.
Mu' yė Cɛŋ yɔ́ pô' khé mpyápcɛ́ŋ;	un autre de Dschang vit ainsi et appela les gardiens de prison.
Pė lú gâ wapə́ , pa ghɔ́ djí' ŋwa' nyə.	Levez-vous avec hâte, et allons étudier les écrits.
Â bípí, mė cë a dî' wǎ' bə́ jyə́ á. 	Si ça se perd, que personne n'y participe consciemment.
Yê, djyə́ â gwɔŋ gɔ wɔ́ŋ twɔŋ pú pa pí lá!	Donc, notre monde doit il se perdre dans nos mains!
Shápɔ lî' la wɔ́k, bė wáp pɛŋ yáp gâ cɛ̀ɛ̀ŋ; Bá wə́ khwi' bɛ́ŋ gaə̂ cɛ̀ɛ̀ŋ.	Et ceux qui nous reçurent étaient eux aussi si brun;
Pa lá' lâ da â ca'á bə́m tà, bə́m caŋ, tɛ́ŋ, ketú' , lǎ, ketwɔ́k pe a mkaŋ. Pe bá lyə́' ɔ dá cá' bə́m pa', ta khə́m á ná yə dîkdîk	Les patriotes utilisaient la terre pour fabriquer les moyennes marmites, les grandes marmites, le Teng, les petites marmites, larges petites marmites, statues et pipes.
Kǎm cwə́ ta khó dyə́ pó'o , pë ywôp shyəkám, Lá lâ'lǎ' kámnyə biŋ gâ yayakám.	Lorsque la paix règne dans le groupe, on chante le chant de la paix, et la nation y participe en répondant Yayakam (paix/gloire)
Pɔpɔ lâ nwə́ mlu' bíŋ shɛ̌ŋ, Pâ' lâ bė wáp pám ta bá wǝ́ gíŋ gâ cɛ̌ŋcɛ̌ŋ;	Ceux-ci avaient tellement bu, et les gueulaient, puisqu'ils étaient souls si bien qu'ils marchaient déséquilibrés.
Tá pë pîŋ thɔ́m wáp dá bhanyə â shɛŋcɛŋ,Tá yaŋ cɛŋtsə vɔ̂k ná póptsə́ bî mghɛŋcɛ́ŋ.	Par ailleurs, on les soutenait pour retourner pas à pas, avant cette affaire qui devait durer, soit sauvé des prisonniers.
Â bá tsísuŋ,shá mghɛŋdwədyə́ la pá mënyə́, a lû pá nâ nwə cá'.	En ville, certains voisins ne se saluent pas à cause des affaires de terrains.
Më shwə́ djú' e câmtsə ta sí gâ:  	On entend qu'il est entrain de cogner le sol ainsi:
Â gap pʉə́ pá' tâ á Gifė ka tə́m dyə́ é áá..	Voilà deux semaines que mon père est sorti de de sa maison.
Pë gɔ ghə lǎ ? pë da é dá m há cwəlɔ lâ? 	Que doit-on faire ? Où doit-on l'emmener maintenant?
Ê djwɔ́k â nɔŋnɔŋ fə́ fɔ̂kdzʉ̌ gɔ́ khəm bwâdzʉ̌.  	Il passe son temps étant couché, du matin au soir.
Nǎm ka pɔ̂ŋ.	L’avarice n'est pas appréciable.
Mė lâ' gə́ ywə́ e hâ yá fâ e. 	Que celui qui a partagé.
Më gap tâ Sǐ kwî'. 	On partage avant que Dieu ajoute.
Ô ŋkwítsə́ bâŋ bė ó kwítsə́ Sí. 	Si tu aides le pauvre, alors, c'est Dieu que tu aides.
Â fə́ bî dəm pû bhə́ tá tsʉ́. 	C'est ce qui ressort du billon et du sillon à la fois, qui fait profiter.
O ghə ywə́ o kámtsə pa cėghəywə́.	Si tu possèdes quoi que ce soit, pense à ceux qui n'en n'ont rien.
Fâ mė cë bá á yė pë ê thə́m ta' vam á pá. 	Le frère de quelqu'un n'est pas juste celui sorti du même ventre que lui.
Pû mė sɛŋtsə pâ' hwe pɔ́ á, e jyə́ gâ ê bɔŋtsě. 	Celui dont la main s'éparpille comme les feuilles de taro est bien heureux.
Tâ á Gifė tám kėsʉ́' wʉ́; ě kɔ́mtsə́ mnyə̂ myə́; 	Mon père Gifė faire le ''ok'' de la mort; il a fermé ses yeux.
 hm ! hm ! djishyə̌ jwə́ á ; gǎ pfʉ́ djishyə ; mė hâ ya shyə .	‘‘Hm! Hm! Lá soif m'a tuée, Je suis mort de soif, Qu'on m'apporte de l'eau''
Shá padjwî thə́m lá', khó fáŋ, o pá djú' wáp zî' pá gá pë kó lá' djâp tsáp cá' wáp pfá.  	Certaines femmes sortent du pays, et conçoivent,tu comprendras qu'elles souhaitent qu'on aille au village donner leur part de terre pour qu’elles en consomment.
Câ' bá ywə̂ cė fò': pë ghɔ kɔ̂t nâ mnwə djyə ghǎm, bė o lê te' , bė djyə hɔ̂m gɔ pá ná, pá â shu cá'	La terre n'est pas mesurable : si on part au tribunal pour dix affaires, si tu regardes à fond, tu verras que huit parmi concerneront les problèmes de terrains.
Â kwa' kǔsë në la ghɔm mė gwâk tsǔ, Ghɔm lâ' më bá djá' ; ghɔm lâ' më bá tɔ́kcyə, Pa jí' bíŋ gə̌ pë jí' ghɔmlá'.	C'est une honte de parler celle de l'autre et de dévaloriser la sienne.[La langue maternelle est  précieuse, la langue maternelle est un trésor, apprenons et amenons les autres à apprendre.
Mė pɔ́m në fiŋ cǎ' gɔ́ dó tsʉ' tá shwə́ ná. ca mė há thwə̂ é nâ kamcá', bė ê gɔ ló' nyə́ phanyə thʉ́m cá'.	Méfions-nous de vendre le terrain et d'aller ailleurs demander un lieu pour y rester. Que personne ne donne sa tête au prix d'une parcelle de terrain, sinon il retournera vite en terre.
Ê gɔ pá kwí, té ghap, té há, té la kwítsə́ lâ'lǎ' ; tʉ̂m tsyə́ sɛ́ŋnyə́, byányə́.  	Il recevra, retirera pour partager, pour donner, pour aider tout le village; son cœur se réjouit, et s'adoucit.
Mė pyányə pâ' pɔ̌ á, bė pë gɔ kwɔŋ é tâ ba gɛŋ cėmsɔŋ yú' pėpɔ́ŋ ná ě. 	Celui qui est aussi doux comme le taro sera aimé de tous, si bien que même celui qui n'a pas de dent tiendra aussi profit de lui.
Tâ pǔ mė pâ sɛ́ŋtsə̀ , shʉ́ m tsyə́ pâ' mhwə kú'kɛŋ á, e jyə́ gá a cė fʉ' é pá. 	Lorsque la main de quelqu'un s'étend, et regarde vers le haut comme les feuilles de makabo, qu'il sache que cette richesse ne lui appartient aucunement pas.
Palâ' khwɔŋ tsʉ' yė pë dzə́ wáp ná áá, ta bá khó pé dzə́ mú, dzí shá thɔ́ŋ e pë táŋ á tsʉ' yė pë la tsə̌ wáp ná áá. 	Les compatriotes aime leur lieu d'origine, au point de s'exiler, accouché ailleurs et expédier le cordon ombilical de l'enfant, qu'on pour qu'on enterre où ils sont nés.
Â pô' tá pë la píŋ thó' në sɛ́ŋnyə tsʉ' cɛŋtsǝ,Dû pâ' mpyǎpcɛ́ŋ da wáp bíŋ m dyə̂cɛ̌ŋ Cɛ̀ŋ.	Il fut ainsi, avant qu'on ne recommence à nouveau de réfléchir sur cet affaire qui devait durer, puisque les gardiens de prison avaient ramené les prisonniers en prison.
A kě gá'bú: tâ á Gifo cė yá wə́ wényə́ pėpɔ́ŋ pá. Ě wə́ wényə́ pá djá'tsə yǎ'tsə́. 	La situation s’est aggravée : mon père Gifė ne respire plus bien. Il respire en tronçons.
Mėnǎŋ wə́ shɔ́m lá gɔm gâ: " Yǎ m wʉ́ ! cė cɔ́m mtsė; djyə́ â së tâ khú ú á lá ? 	Les gens se consolent disant: "quel deuil! Sans consolation ; ce Deuil n'a pas de honte?
Ô djɔ́ daŋ pó pyə Gifė thák á lá ? Wâ gɔ cʉ́' pá lé wápǝ́ ? Ëë, a cė shɛŋ pá ; nwə́ a djí pô' lá. Tâ á Gìfė ! pá dɔ́kè " . 	A tu vu le nombre d'enfants que Gife à laisser? Qui restera prendre soin d'eux? Oui, pas de problème; Mais une affaire aussi exagérée comme cela? Mon père Gifė, avance toi.
Pë lâ shyə sɔ́' há bí í, e ná' bʉ́' nâ e , nwə́, o pîŋ djú' e ghâ : " hm ! hm ! â lî' fɛ̌ŋtsə̂ bė ě té awɛ́ŋ, bwá gâ tàm, bɔ́ nâ e nɔ́ŋ kó. 	Quand on lui apporte de l'eau, il se soulève légèrement et bois, Puis on l'entend encore dire: hm! Hm! Ça le menace et il vomit tout, puis devient tout fatigué et se courbe pour s'allonger sur le lit.
a pá mė yė ê dzyə mëkhǎm; Nápâ' ba fë bə́ lá'kám djâ yə́ á mûkhǎm,Pë pá síŋ ê mú' nwə e néshwǝ́ á gâ kǎm;Bá tháŋtsə́ ê shá, e cwə́ á pâ' kàm;	Le maître de protocole qui prend soin du futur notable. Tout comme le roi étant encore un petit notable au La'kam, quand on lui parle d'une affaire, il se tait; Quand on approfondi en le questionnant, il reste comme un objet immobile.
Mfâ pyə́ piŋ sháŋ da' në cwətsə pa Cwɛ́ŋkhám, Fėkhǎm, Tâkhǎm, Mɔ́ɔ̌khám, pë a pa Pekhám; Bwɔ́k pë kâ la wáp gə́ patə̂m khámm; Nápá' pá mė la pá báp kám sháp ŋkám.	Ses frères cherchent eux aussi de donner comme nom à leurs enfants, les Tchuenkam, Feukam, Takam, mokam, ainsi que les Pekam. Se méfiant ainsi qu'on ne les prenne pour des opposants de la notabilité royale; tout comme on ne peut envisager la notabilité tout en la prenant pour dérisoire.
Bė é sɛ́ŋ a cyə̂ é, e ghɔ̂m lá thʉ́ kàm, Dé â da' pá' é gɔ so' pá la nënë sá' kám, djáŋ kaktė ta wim tsyə́ tsə́mkám; Sɛ́ŋ pá' pá e sô' gə́ tá thʉ̂ ba yə́ kám; Sʉ̂m ba në zî lǐ' tə̌m lá'kâm bė Sǐ phə yǝ́ kám; Bá yė ǎ so' bá mdjwǐ á pë cwə̂ Thû'kǎm; Thə́m mbɛ̂ŋ pë ké é gá Pwɔ' kám; Sî shwə́ ta bhə̂ yə́ kám,Tsʉ' néshwǝ́ gâ kâm; Lǎ' yú' pô' gwɔ́ŋ thó' á në nàŋ kàm;	S'il une réflexion le dépassé, il parlera avec réserve, regardant juste comme il viendra juger avec justice, En s'efforçant à recevoir sa part de gain de notabilité. Il désire, qu'en sortant du La'kam que Dieu l'aie exaucé ; Si ce sera une fille qui naîtra, on la nommera Thukam; Si ce sera un homme, on l'appellera Pouokam. Lorsque Dieu l'a exaucé, tout se passera au calme ; La nation comprenant ainsi, se met faire la danse Kam.
Mė a khwí bá' shya á m djʉ̌m é a ? Bâkálá pâ â yǔ , o jyə́ gâ ta' lyə̌' lá' pá ô yɔ́k tâ ba gënɔm kə́ŋnyə́ ó.	Est ce qu'on doit recevoir et garder derrière soi ? Si tout n'est que pour toi seul, sache qu'un jour arrivera où ta saveur démangerra au point où même le porc refusera d'en manger.
Ywə́ yɔk ta ba gënɔm khaŋnyə , bė a ka syá a ? Ǎ ghɔ nâ hwə pɔ́ pë hwə kú'kɛŋ, o lâ yǔ yáá?Ghɔmlâ' tsɔ́kpâ gɔm gâ lǎ' pâ cǎŋ , mė la jyə́ báŋ.	N’est-il pas grave qu'un aliment gratte si bien que le porc en refuse? Entre les feuilles de taro et celles de makabo, que choisis-tu? Dans notre langue, on dit que lorsqu'il y a entraide dans le village, nul ne connaîtra la pauvreté.
Pa' pɔ jɔmyɔ̌m lə to' nə və mnwə myə a lə cyə cəcɑ̌ pɑ a,	Puisque plusieurs ont entrepris de rédiger un récit des choses qui sont reçues parmi nous avec unepleine certitude,
bvə ywə yə pyə lə yu' bi pɔ pyə wap lə́ bɑ́ si tə fɑ cwə nə to', jɔ nwə bɔ, shʉ' mghɛ ŋkwinthɛ̌ nə́, bɑwə dɑ mghɔm bɔ sa dzʉ á,	comme nous les ont transmises ceux qui, dès le commencement, ont été les témoins oculaires etles ministres de la parole,
a lə́ puŋ gɑ́ ŋ de mnwə nə́ pa' a pɑ nyənyɔ tə fɑ nə zhitə a, tə́ bvə bu nə ŋkhɛ dəŋdəŋ, wə tá Teofilə,	il m’a semblé bon à moi aussi, qui ai suivi exactement toutes choses depuis le commencement, trèsexcellent Théophile, de te [les] écrire par ordre,
tə o nə jyə́ nyənyɔ nə mnwə myə pu siŋ o gɑ o zhyə a.Aŋgəle siŋ gɑ́ pu gɔ tsə Yohane gɛ nu' pɔ shyə	afin que tu connaisses la certitude des choses dont tu as été instruit.
A lə pɑ̌ nə́ cwə yə Herode lə́ bɑ́ fo pɑ Yudea á, mu' ŋkhamsi pɑ wə tso tsyə pɑ́ Sakaria, e pɑ́ nə kam Abia. Jwi é lə́ bɑ́ gwya mo Aaron, tso tsyə pɑ Elisapet.	Aux jours d’Hérode, roi de Judée, il y avait un certain sacrificateur, nommé Zacharie, de la classed’Abia; et sa femme était des filles d’Aaron, et son nom était Élisabeth.
Wap lə́ bɑ́ pɔ dəŋdəŋ dzə̌ Si, bɑ giŋ nə mco' Cyəpɔ nyənyɔ bɑ́ gə pa' Si shəŋ a.	Et ils étaient tous deux justes devant Dieu, marchant dans tous les commandements et dans toutes les ordonnances du *Seigneur, sans reproche.
Wap lə́ bɑ wap ka wim mú, nə pa' Elisapet lə́ bɑ́ ŋkhíŋ, bɑ wap vò	Et ils n’avaient pas d’enfant, parce qu’Élisabeth était stérile; et ils étaient tous deux fort avancés en âge.
A lə kəm nə cwə yə yə́ kam pɔ Sakaria lə́ bɑ́ gɔ fa' fà' Si a,	Or il arriva, pendant qu’il exerçait la sacrificature devant Dieu dans l’ordre de sa classe,
nthuŋ tsʉ́ e pa' mà mkamsi lə́ bɑ́ cwə o bɔ a, gɑ́ yʉ́ nə gɔ ko nə tsʉ' yə pu ntho phə̀ damnyəlamnyə nə shwyɛ'nyə Si dyə Cyəpɔ a.	que, selon la coutume de la sacrificature, le sort lui échut d’offrir le parfum en entrant dans le temple* du *Seigneur.
Guŋ pɔ awɛ lə́ bɑ́ dzʉ cwə nə to ywə nə shwyɛ'nyə Si bɑwə shwyɛ'nyə Si.	Et toute la multitude du peuple priait dehors, à l’heure du parfum.
Aŋgəle cyəpɔ lə ŋwak dzə̌ Sakaria, nthiŋnyə nə́ ghəŋ pu tʉ̀ɔ, bəŋ tuŋmɔk nə ntho ywə damnyəlamnyə.	Et un ange du *Seigneur lui apparut, se tenant au côté droit de l’autel du parfum.
