Sen_fre ,Sen_gho
Et ils se mirent à le manger sans sauce.,wa?p kwa? dz?? a? c???;
"En arrivant dans le village Dschang,","Py? la li?' ?wak la?' C???,"
Pour y doter une fille de Dschang.,Ba? sha?? ne? ko? mu' go a? C???;
Nous étions allés dans la région de Dschang;,Py? la gh?? la?' C???;
Nous déposions un vin très rouge;,Pe? la? mlu' so?' be? a? p?? ga? c?????;
On parle d'une effilée et si brune.,Pe? de? me? cw???cw??? go be? e? p?? ga? c?????.
La prison centrale de la ville de Dschang.,F?? po?' ta m dy??c??? gwy?? la?' C???.
Et ils avaient porté des habits déchiquetés.,"Khwa? mdz?? a pa? mc???mc???,"
ces déchirures étaient bizarre et si rouges.,"Mc??? my?? dja?? ba? a? mc??mc??,"
Lire et relire,Ke? bi?? khwi' khe?. 
c'est insignifiant. Ne vous en souciez pas.,A cë bá s?myw?? pá. Ca p? c??m.
Le poussin redoute l'épervier. C'est son ennemi.,Mu?go?p bw??k gh??m. A? ba? g??bo e.
Nous avions commencé a faire des choses devant duré.,Pe? l? cw?? nto?' nw? li?' c???ny??.
On ne pleure le deuil avant le deuil. Ne pleurez plus.,Pe? ce? d? w?? ce? a th??m pa?. Pe? ka? kwi' d????.
dépose le savon auprès des assiettes. Je laverai tout à l'heure.,Ya?p s?k ba?? mk???. Ga? g? s?k pa? cw?l??.
Il obéit beaucoup à sa mère. Il ne fait pas de problèmes.,E? dju?' nw? bi? ma?p e kwa' pe?p???. E ce? dja?pnw?? pa.
L'âme d'une personne ne dort pas. Il passe sa nuit à marcher.,Gh??ny? me? ce? dzi? pa?. E? khwo?' tsyats? gi??ts?? ghi?ts?.
Tu n’as pas mis de piment dans cette sauce. Tu sais que c'est pas pimenté.,O ka ni?? s??k n?? na?' ya?? . O jy?? ga? a ka tsy??.
L'enfant dit au revoir pour aller puiser de l'eau. Je mourrai a cause de la soif.,Mu? w?? da?' ny?? g?? m shy? . Djishy? g? jw?? a?. 
il n'a pas acheté la pour au marché.  Il ne  pourra pas couper le lien avec cette malédiction.,E ka yo? góp sim pá . Pá e la te? do ba?. 
"Quand on boit de l'eau, on ne risque pas avoir la gorge sèche. Il boit de l'eau malgré lui.",Me? ce? ba? nw? shy? gha?k e? kh?? pa?. E? nw?? shy?? ce? khw???. 
Ils burent et leurs yeux se mirent à rougir tellement.,Nw?? la? mny?? ma?p cu?' b??? ga?? c?????;
Ils arrivèrent et menacèrent les prisonniers.,"Wa?p ?wa?k g??m ga? mgh??c??? pi?? ga?? sh???,"
La mort de mon père Gife.,W?? ta? a? Gi?fe?. 
Rien ne lui plaît plus.,S?m yw?? ce? w?? dja? b?? e? pa?.
"en journée, il ne fait que se plaindre",E? djw??k m??kc?? shwe?cwe. 
"Jusque par devant, S'en est fini de lui.",da?' mdz??; y?? nw?? mi? si?ca' ?. 
Puis ils commençaient à danser comme des déséquilibrés.,Pe? di?' y?? wa?p to?' ne? na? c???c??c???;
Directement celà déclencha des problèmes au milieu d'eux.,"A w??? g? ce?ca? pu? tho?' ne? kam sh??,"
un autre de Dschang vit ainsi et appela les gardiens de prison.,Mu' ye? C?? y?? po?' khe? mpya?pc???;
"Levez-vous avec hâte, et allons étudier les écrits.","Pe? lu? ga? wap?? , pa gh?? dji?' ?wa' ny?."
"Si ça se perd, que personne n'y participe consciemment.","A? bi?pi?, me? ce? a di?' wa?' b?? jy?? a?. "
"Donc, notre monde doit il se perdre dans nos mains!","Ye?, djy?? a? gw?? g? w??? tw?? pu? pa pi? la?!"
On entend qu'il est entrain de cogner le sol ainsi:,Me? shw?? dju?' e ca?mts? ta si? ga?:  
Voilà deux semaines que mon père est sorti de de sa maison.,A? gap p??? pa?' ta? a? Gife? ka t??m dy?? e? a?a?..
Que doit-on faire ? Où doit-on l'emmener maintenant?,Pe? g? gh? la? ? pe? da e? da? m ha? cw?l? la?? 
"Il passe son temps étant couché, du matin au soir.",E? djw??k a? n??n?? f?? f??kdz?? g?? kh?m bwa?dz??.  
L’avarice n'est pas appréciable.,Na?m ka p???.
Que celui qui a partagé.,Me? la?' g?? yw?? e ha? ya? fa? e. 
On partage avant que Dieu ajoute.,Me? gap ta? Si? kwi?'. 
"Si tu aides le pauvre, alors, c'est Dieu que tu aides.",O? ?kwi?ts?? ba?? be? o? kwi?ts?? Si?. 
"C'est ce qui ressort du billon et du sillon à la fois, qui fait profiter.",A? f?? bi? d?m pu? bh?? ta? ts??. 
"Si tu possèdes quoi que ce soit, pense à ceux qui n'en n'ont rien.",O gh? yw?? o ka?mts? pa ce?gh?yw??.
Le frère de quelqu'un n'est pas juste celui sorti du même ventre que lui.,Fa? me? ce? ba? a? ye? pe? e? th??m ta' vam a? pa?. 
Celui dont la main s'éparpille comme les feuilles de taro est bien heureux.,"Pu? me? s??ts? pa?' hwe p?? a?, e jy?? ga? e? b??tse?. "
Mon père Gif? faire le ''ok'' de la mort; il a fermé ses yeux.,Ta? a? Gif? ta?m ke?s??' w??; e? k??mts?? mny?? my??; 
"‘‘Hm! Hm! Lá soif m'a tuée, Je suis mort de soif, Qu'on m'apporte de l'eau''", hm ! hm ! djishy?? jw?? a? ; ga? pf?? djishy? ; me? ha? ya shy? .
Et ceux qui nous reçurent étaient eux aussi si brun;,"Sha?p? li?' la w??k, be? wa?p p?? ya?p ga? c?????; Ba? w?? khwi' b??? ga?? c?????."
"J'y entrais et voyait les élèves, qui savaient déjà bien écrire, et savaient également bien lire l'alphabet.","da ko? w?? dj?? po?ms?ku?, b? wa?p jy?? në v? ta a? ti??ny?, bi? jy?? n?? ke? mny?? ?wa' ny? kwa' p?p???."
"Mes pères, mères, amis! Que Dieu nous augmente des jours et que chacun puisse s'inscrire en l'année deux mille huit, pour ne pas perdre comme moi.","Mta? pa , m??? pa, mso? pa ! Si? kwi?' ta' ly??' dz?? bi? pa , m? zi? do?'ny??  v?? tsy?? tsë  na? ya? shwop h?m m sha?' p???, bw??k në pi? pa?' my? a?a?."
"Je m'étais inscrit, et partit entrer dans la grande salle auprès des autres,  nous avions ensemble exécuté l'hymne de liberté de notre nation avec prestige en ghomlá'.","N da v?? tsë tsa? cw?l?, g?? ?ko? dy?? gwy?? ba?? py?sh?? p?, py? a pu? p??mts? djw??p shy? l?p?? gw?? y??kpa kwa' p?p??? na? gh?ma?la?’."
"Par ailleurs, on les soutenait pour retourner pas à pas, avant cette affaire qui devait durer, soit sauvé des prisonniers.","Ta? pe? pi?? th??m wa?p da? bhany? a? sh??c??,Ta? ya? c??ts? v??k na? po?pts?? bi? mgh??c???."
"En ville, certains voisins ne se saluent pas à cause des affaires de terrains.","A? ba? tsi?su?,sha? mgh??dw?dy?? la pa? me?ny??, a lu? pa? na? nw? ca?'."
"Il Jeta un coup d'œil en haut et en bas; faire un pas en avant n'étais pas possible, encore moins faire un pas en arrière; car cet animal-là s'était déjà installé sous l'arbre.","E le? tsy?? de? si?, ne? gh? mdz? la pa? w??, ne? pi? m dj?m la pa? w??; be? n?m ba? e? da?' shw?? to tsy??."
"Cet homme-là entendit l'animal féroce dire aux fourmis noires, de laisser leurs dents et que ensemble ils utilisent les griffes pour le combattre, Il prit rapidement une vitesse pour descendre de l'arbre, demandant au temps d'accélérer son pas.","b??? ba? yu?' pa?' n?mthe? si? g??m bi? kwy??kwy??, ga? wa?p ta?k ms?? na??, pe? a pu? la? a? mkho?p da? do?' a?, gw??? da? a? mse?sa?' gw?? fi?' tsy??, do? khw? e? bi? cw??."
"Où étais-je? Que faisais-je jusqu'à traîner autant? En faisant la lecture, on est retourné jusqu'à moi.",n da? ba? m ha?? N da? ba? w?? fa?' ka? ta shw?? da? po?'o? ? Pë pi?? di?' ke? yw?? la? bhany? dj?m na? m.
"Toutes bonnes choses proviennent de la terre : commençant par l'eau, jusqu'au pétrole qui est un trésor de nos jours.","Gw?? ts?? pepu?? th??m  a? th??m ca?':tho?' na? shy?, g?? kh?m na? klasi? ya? ye a? ba? t??kcy? ly??' ? a?a?"
"L'homme cherchant à rendre témoignage pour une affaire, voulant prouver qu'il parle sérieusement, tu verras qu'il lèchera la terre.","Me ba? sha?? ne kwi??th??? na? sha? mnw?, pe? li? jy?? a? e? w?? g??m ta a? ta?? e?, o y?? e la? ca'a?"
"Les patriotes utilisaient la terre pour fabriquer les moyennes marmites, les grandes marmites, le Teng, les petites marmites, larges petites marmites, statues et pipes.","Pa la?' la? da a? ca'a? b??m ta?, b??m ca?, t???, ketu?' , la?, ketw??k pe a mka?. Pe ba? ly??' ? da? ca?' b??m pa', ta kh??m a? na? y? di?kdi?k"
"Certaines femmes sortent du pays, et conçoivent,tu comprendras qu'elles souhaitent qu'on aille au village donner leur part de terre pour qu’elles en consomment.","Sha? padjwi? th??m la?', kho? fa??, o pa? dju?' wa?p zi?' pa? ga? pe? ko? la?' dja?p tsa?p ca?' wa?p pfa?.  "
"La terre n'est pas mesurable : si on part au tribunal pour dix affaires, si tu regardes à fond, tu verras que huit parmi concerneront les problèmes de terrains.","Ca?' ba? yw?? ce? fo?': pe? gh? k??t na? mnw? djy? gha?m, be? o le? te' , be? djy? h??m g? pa? na?, pa? a? shu ca?'"
"C'est une honte de parler celle de l'autre et de dévaloriser la sienne.[La langue maternelle est  précieuse, la langue maternelle est un trésor, apprenons et amenons les autres à apprendre.","A? kwa' ku?se? ne? la gh?m me? gwa?k tsu?, Gh?m la?' me? ba? dja?' ; gh?m la?' me? ba? t??kcy?, Pa ji?' bi?? g?? pe? ji?' gh?mla?'."
"Méfions-nous de vendre le terrain et d'aller ailleurs demander un lieu pour y rester. Que personne ne donne sa tête au prix d'une parcelle de terrain, sinon il retournera vite en terre.","Me? p??m ne? fi? ca?' g?? do? ts?' ta? shw?? na?. ca me? ha? thw?? e? na? kamca?', be? e? g? lo?' ny?? phany? th??m ca?'."
"Il recevra, retirera pour partager, pour donner, pour aider tout le village; son cœur se réjouit, et s'adoucit.","E? g? pa? kwi?, te? ghap, te? ha?, te? la kwi?ts?? la?'la?' ; t??m tsy?? s???ny??, bya?ny??.  "
"Celui qui est aussi doux comme le taro sera aimé de tous, si bien que même celui qui n'a pas de dent tiendra aussi profit de lui.","Me? pya?ny? pa?' p?? a?, be? pe? g? kw?? e? ta? ba g?? ce?ms?? yu?' pe?p??? na? e?. "
"Lorsque la main de quelqu'un s'étend, et regarde vers le haut comme les feuilles de makabo, qu'il sache que cette richesse ne lui appartient aucunement pas.","Ta? pu? me? pa? s???ts?? , sh?? m tsy?? pa?' mhw? ku?'k?? a?, e jy?? ga? a ce? f?' e? pa?. "
"Les compatriotes aime leur lieu d'origine, au point de s'exiler, accouché ailleurs et expédier le cordon ombilical de l'enfant, qu'on pour qu'on enterre où ils sont nés.","Pala?' khw?? ts?' ye? pe? dz?? wa?p na? a?a?, ta ba? kho? pe? dz?? mu?, dzi? sha? th??? e pe? ta?? a? ts?' ye? pe? la ts?? wa?p na? a?a?. "
"Il fut ainsi, avant qu'on ne recommence à nouveau de réfléchir sur cet affaire qui devait durer, puisque les gardiens de prison avaient ramené les prisonniers en prison.","A? po?' ta? pe? la pi?? tho?' ne? s???ny? ts?' c??ts?,Du? pa?' mpya?pc??? da wa?p bi?? m dy??c??? C???."
La situation s’est aggravée : mon père Gif? ne respire plus bien. Il respire en tronçons.,A ke? gá'bú: ta? a? Gifo ce? ya? w?? we?ny?? pe?p??? pa?. E? w?? we?ny?? pa? dja?'ts? ya?'ts??. 
"Les gens se consolent disant: ""quel deuil! Sans consolation ; ce Deuil n'a pas de honte?","Me?na?? w?? sh??m la? g?m ga?: "" Ya? m w?? ! ce? c??m mtse?; djy?? a? se? ta? khu? u? a? la? ? "
"A tu vu le nombre d'enfants que Gife à laisser? Qui restera prendre soin d'eux? Oui, pas de problème; Mais une affaire aussi exagérée comme cela? Mon père Gif?, avance toi.","O? dj?? da? po? py? Gife? tha?k a? la? ? Wa? g? c??' pa? le? wa?p?? ? E?e?, a ce? sh?? pa? ; nw?? a dji? po?' la?. Ta? a? Gi?f? ! pa? d??ke? "" . "
"Quand on lui apporte de l'eau, il se soulève légèrement et bois, Puis on l'entend encore dire: hm! Hm! Ça le menace et il vomit tout, puis devient tout fatigué et se courbe pour s'allonger sur le lit.","Pe? la? shy? s??' ha? bi? i?, e na?' b??' na? e , nw??, o pi?? dju?' e gha? : "" hm ! hm ! a? li?' f???ts?? be? e? te? aw???, bwa? ga? ta?m, b?? na? e n??? ko?. "
"Le maître de protocole qui prend soin du futur notable. Tout comme le roi étant encore un petit notable au La'kam, quand on lui parle d'une affaire, il se tait; Quand on approfondi en le questionnant, il reste comme un objet immobile.","a pa? m? y? e? dzy? mëkha?m; Nápa?' ba fë b?? la?'ka?m djâ y?? a? mûkha?m,Pë pá si?? e? mu?' nw? e ne?shw?? a? ga? ka?m;Ba? tha??ts?? e? sha?, e cw?? a? pa?' ka?m;"
"Ses frères cherchent eux aussi de donner comme nom à leurs enfants, les Tchuenkam, Feukam, Takam, mokam, ainsi que les Pekam. Se méfiant ainsi qu'on ne les prenne pour des opposants de la notabilité royale; tout comme on ne peut envisager la notabilité tout en la prenant pour dérisoire.","Mfa? py?? pi? sha?? da' ne? cw?ts? pa Cw???kha?m, Fe?kha?m, Ta?kha?m, M????kha?m, pe? a pa Pekha?m; Bw??k pe? ka? la wa?p g?? pat??m kha?mm; Na?pa?' pa? me? la pa? ba?p ka?m sha?p ?ka?m."
"Est ce qu'on doit recevoir et garder derrière soi ? Si tout n'est que pour toi seul, sache qu'un jour arrivera où ta saveur démangerra au point où même le porc refusera d'en manger.","Me? a khwi? ba?' shya a? m dj??m e? a ? Ba?ka?la? pa? a? yu? , o jy?? ga? ta' ly??' la?' pa? o? y??k ta? ba ge?n?m k???ny?? o?."
"N’est-il pas grave qu'un aliment gratte si bien que le porc en refuse? Entre les feuilles de taro et celles de makabo, que choisis-tu? Dans notre langue, on dit que lorsqu'il y a entraide dans le village, nul ne connaîtra la pauvreté.","Yw?? y?k ta ba ge?n?m kha?ny? , be? a ka sya? a ? A? gh? na? hw? p?? pe? hw? ku?'k??, o la? yu? ya?a??Gh?mla?' ts??kpa? g?m ga? la?' pa? ca?? , me? la jy?? ba??."
"Puisque plusieurs ont entrepris de rédiger un récit des choses qui sont reçues parmi nous avec unepleine certitude,","Pa' p? j?my??m l? to' n? v? mnw? my? a l? cy? c?c?? p? a,"
"comme nous les ont transmises ceux qui, dès le commencement, ont été les témoins oculaires etles ministres de la parole,","bv? yw? y? py? l? yu' bi p? py? wap l?? b?? si t? f? cw? n? to', j? nw? b?, sh?' mgh? ?kwinth?? n??, b?w? d? mgh?m b? sa dz? á,"
"il m’a semblé bon à moi aussi, qui ai suivi exactement toutes choses depuis le commencement, trèsexcellent Théophile, de te [les] écrire par ordre,","a l?? pu? g?? ? de mnw? n?? pa' a p? ny?ny? t? f? n? zhit? a, t?? bv? bu n? ?kh? d??d??, w? tá Teofil?,"
afin que tu connaisses la certitude des choses dont tu as été instruit.,t? o n? jy?? ny?ny? n? mnw? my? pu si? o g? o zhy? a.A?g?le si? g?? pu g? ts? Yohane g? nu' p? shy?
"Aux jours d’Hérode, roi de Judée, il y avait un certain sacrificateur, nommé Zacharie, de la classed’Abia; et sa femme était des filles d’Aaron, et son nom était Élisabeth.","A l? p?? n?? cw? y? Herode l?? b?? fo p? Yudea á, mu' ?khamsi p? w? tso tsy? p?? Sakaria, e p?? n? kam Abia. Jwi é l?? b?? gwya mo Aaron, tso tsy? p? Elisapet."
"Et ils étaient tous deux justes devant Dieu, marchant dans tous les commandements et dans toutes les ordonnances du *Seigneur, sans reproche.","Wap l?? b?? p? d??d?? dz?? Si, b? gi? n? mco' Cy?p? ny?ny? b?? g? pa' Si sh?? a."
"Et ils n’avaient pas d’enfant, parce qu’Élisabeth était stérile; et ils étaient tous deux fort avancés en âge.","Wap l?? b? wap ka wim mú, n? pa' Elisapet l?? b?? ?khí?, b? wap vò"
"Or il arriva, pendant qu’il exerçait la sacrificature devant Dieu dans l’ordre de sa classe,","A l? k?m n? cw? y? y?? kam p? Sakaria l?? b?? g? fa' fà' Si a,"
"que, selon la coutume de la sacrificature, le sort lui échut d’offrir le parfum en entrant dans le temple* du *Seigneur.","nthu? ts?? e pa' mà mkamsi l?? b?? cw? o b? a, g?? y?? n? g? ko n? ts?' y? pu ntho ph?? damny?lamny? n? shwy?'ny? Si dy? Cy?p? a."
"Et toute la multitude du peuple priait dehors, à l’heure du parfum.",Gu? p? aw? l?? b?? dz? cw? n? to yw? n? shwy?'ny? Si b?w? shwy?'ny? Si.
"Et un ange du *Seigneur lui apparut, se tenant au côté droit de l’autel du parfum.","A?g?le cy?p? l? ?wak dz?? Sakaria, nthi?ny? n?? gh?? pu t???, b?? tu?m?k n? ntho yw? damny?lamny?."
"Et Zacharie, le voyant, fut troublé, et la crainte le saisit.","Sakaria l? n? y? e, lam tsy? s?, e pw?k."
"Et l’ange lui dit : Ne crains pas, Zacharie, parce que tes supplications ont été exaucées, et ta femme Élisabeth t’enfantera un fils, et tu appelleras son nom Jean*","A?g?le gh?m bi é g?: K?? pw?k m Sakaria, Si b? e? yu' mcwy?'ny? mu?; jwi o Elisapet g? s?' ts? ta' mu mb? bu, o ke tso tsy? g?? Yohane."
"Et il sera pour toi un sujet de joie et d’allégresse, et plusieurs se réjouiront de sa naissance;","O g? s?' ?w?ny? n? é te', ba bo'gwy? p? ?w?ny? yap n? cw? y? pu ts? é a."
Et il fera retourner plusieurs des fils d’Israël au *Seigneur leur Dieu.,E g? pi? s?' l? bo'gwy? p? Isra?l n? s?' dz?? Cy?p? Si yap.
"Et Zacharie dit à l’ange : Comment connaîtrai-je cela ? car moi, je suis un vieillard, et ma femme est fort avancée en âge.","Sakaria gh?m bi a?g?le g?: G?? g? l? k?? zhy? g?? nw? y? o g?m a, a? ny?ny?? G?? b? g?? vo, mgu'dz? jwi a pi? b?? b? a? gh? dz?."
"Et l’ange, répondant, lui dit : Moi, je suis Gabriel, qui me tiens devant Dieu, et j’ai été envoyé pour te parler et pour t’annoncer ces bonnes nouvelles*.","A?g?le pa' bi e g?: G?? b?? Gapriya, g?? shw? b?? Si. E nth?m a g? s?' g?m bu po'o, si? o y?? cu? p?pú?."
"Et voici, tu seras muet et tu ne pourras point parler jusqu’au jour où ces choses arriveront, parce que tu n’as pas cru mes paroles qui s’accompliront en leur temps.","Cw?l? o g? zhi t? gh??m, o l? pi? g?m t? k?m ty?'dz?? y? y?? nw? p?mt? a. N? pa' o? téd?' n? gh?m ts?? tsy? a g? s?' p?mt? a."
Et le peuple attendait Zacharie ; et ils s’étonnaient de ce qu’il tardait tant dans le temple*.,"P?mn?? l?? b?? dz?? byap Sakaria, nw? p?w? shy? wap, n? ti? pa' e n? shw? ts?' to yw? a."
"Et quand il fut sorti, il ne pouvait pas leur parler : et ils reconnurent qu’il avait vu une vision dans le temple*; et lui-même leur faisait des signes, et il demeura muet.","E l? t?m dy?, bi a p?? é l? gh?mnw? jy?. P?mn?? zhy? g? e kody? n? y? m nth?m zhweny?. E c?' b? g? p? nthinthi mtì?, shw? p? t? gh?m."
"Et il arriva que, quand les jours de son ministère furent accomplis, il s’en alla dans sa maison.","My?? mty?' fa' l?? mi?, e p?ny? la' é."
"Or après ces jours, Élisabeth sa femme conçut, et elle se cacha cinq mois, disant:","A n? cw? muyw?, jwi e Elisapet f???. D?mny? n? m?w? nth?k?, b? g?m g?:"
"Le *Seigneur m’a ainsi fait aux jours où il m’a regardée, pour ôter mon opprobre parmi les hommes.","Si b? e? l? mny? c?mmtso dé a, nthé kuso n? m? dz? p?mn??.A?g?le si? g? pu g? ts?? Yeso."
"Et au sixième mois, l’ange Gabriel fut envoyé par Dieu dans une ville de Galilée, nommée Nazareth,","A l? p?? n?? m?w? nth?k?, Si t??m a?g?le Gapriya nth?m mu' tisu? Galilea, tso tisu? b? p?? Nazar?t,"
"à une vierge, fiancée à un homme dont le nom était Joseph, de la maison de David; et le nom de la vierge était Marie.","b?? mu' mú gò, b? mo? ko n? é, tso tsy?? p? Yos?p, mo n?? tu?dy?? David. Tso? gò b? l?? b?? Maria."
"Et l’ange étant entré auprès d’elle, dit : Je te salue, toi que [Dieu] fait jouir de sa faveur ! Le *Seigneur est avec toi; tu es bénie entre les femmes.","A?g?le kody? é g?m g?: ?w?ny?! W? y? Si j? o p?pu? a, po Cy?p? n? b?."
"Et elle, le voyant, fut troublée à sa parole; et elle raisonnait en elle-même sur ce que pourrait être cette salutation.","Gh?m ts? g? l? s?lam Maria, t? e p? h??t? g?: Y?? nthi ca't? po'o b?? da't? g?? k???"
"Et l’ange lui dit : Ne crains pas, Marie, car tu as trouvé grâce auprès de Dieu.",A?g?le gh?m bi e g?: K?? pw?k m Maria. O b? Si gho'o.
"Et Zacharie, son père, fut rempli de l’Esprit Saint, et prophétisa, disant:",Zhweny? D?l?? l? lo n? tap e Sakaria e gh?m gh??m Si g?:
"Béni soit le Seigneur, le Dieu d’Israël, car il a visité et sauvé* son peuple.","Bya?ny? bi Cy?p?, Si p? Isra?l,n? pa' e s?' ?kwi p? py?."
et nous a suscité une corne de délivrance dans la maison de David son serviteur.,"E h? g?v?k p? bi p?,shy? n?? tu?dy??fo David ?kw? e."
"selon ce qu’il avait dit par la bouche de ses saints prophètes, qui ont été de tout temps,","Yw? y? e l? la' shy? m n? shw?mgh? gh?m gh??m tsy?? cw? dz?? g?m a,"
une délivrance de nos ennemis et de la main de tous ceux qui nous haïssent;,yw? v?k y? a ?kwi w?k p? bi mgh? bo p?k p? a.
"pour accomplir la miséricorde envers nos pères et pour se souvenir de sa sainte alliance,","E la't? c?mmtso e bi mta p?k p?, ?khamt? k? tsy? pu a pu l? w? á, k? d?l??,"
"du serment qu’il a juré à Abraham notre père,",e ka' bi Abraham ta y?k p? g??
"de nous accorder, étant libérés* de la main de nos ennemis, de le servir sans crainte,",cw? y? e g? s?' te w?k p? dy? mkw? a p? p?? fá' bi e t? pw?k.
"en sainteté et en justice devant lui, tous nos jours.","B? gi? dz? e, d?l??, d??d??, n? gu? mty?'dz? v?k m?k p? aw?."
"Et toi, petit enfant, tu seras appelé prophète du Très-haut: car tu iras devant la face du *Seigneur pour préparer ses voies.","S?' m n? w? mubwa?, pu g? s?' ké o g? g??m gh?m Si t?? th?? k?b??. N? pa' o g? s?' p? ghi? dz? Cy?p? nyapt? m?jy? e."
"pour donner la connaissance du salut* à son peuple, dans la rémission de leurs péchés!",Gh? p? py?? zhy?? yw? v?k shy? m n?? n? l? mh? map shwy?' wap!
Et ils lui dirent: Il n’y a personne dans ta parenté qui soit appelé de ce nom.,Pu gh?m g?: S?mmo t?? n?? tu?dy? o tsó tsy? p?? Yohane p??.
Et ils firent signe à son père [qu’il déclarât] comment il voulait qu’il fût appelé.,Wap l? l? mti? h??t? ta mú pa' pu g? ke tso mú a.
